timeStamp,elapsed,responseCode,responseMessage,threadName,success,grpThreads,allThreads,URL,Latency,Connect
1594786614210,605,200,OK,Grupo de Usuários 1-27,true,87,87,https://www.arkcanal.com/,49,0
1594786614536,303,200,OK,Grupo de Usuários 1-50,true,87,87,https://www.arkcanal.com/,56,0
1594786614525,456,200,OK,Grupo de Usuários 1-24,true,87,87,https://www.arkcanal.com/,51,0
1594786614588,440,200,OK,Grupo de Usuários 1-49,true,86,86,https://www.arkcanal.com/,53,0
1594786614603,444,200,OK,Grupo de Usuários 1-46,true,86,86,https://www.arkcanal.com/,63,0
1594786614608,447,200,OK,Grupo de Usuários 1-48,true,86,86,https://www.arkcanal.com/,68,0
1594786614611,447,200,OK,Grupo de Usuários 1-47,true,86,86,https://www.arkcanal.com/,72,0
1594786614569,504,200,OK,Grupo de Usuários 1-29,true,86,86,https://www.arkcanal.com/,54,0
1594786615047,271,200,OK,Grupo de Usuários 1-46,true,85,85,https://www.arkcanal.com/,51,0
1594786614816,522,200,OK,Grupo de Usuários 1-27,true,85,85,https://www.arkcanal.com/,51,0
1594786610561,4783,200,OK,Grupo de Usuários 1-51,true,84,84,https://www.arkcanal.com/,3621,3515
1594786610580,4771,429,Too Many Requests,Grupo de Usuários 1-34,false,84,84,https://www.arkcanal.com/,4771,0
1594786615028,329,200,OK,Grupo de Usuários 1-49,true,84,84,https://www.arkcanal.com/,52,0
1594786615055,326,200,OK,Grupo de Usuários 1-48,true,84,84,https://www.arkcanal.com/,54,0
1594786614840,659,200,OK,Grupo de Usuários 1-50,true,84,84,https://www.arkcanal.com/,60,0
1594786615319,220,200,OK,Grupo de Usuários 1-46,true,84,84,https://www.arkcanal.com/,54,0
1594786615059,481,200,OK,Grupo de Usuários 1-47,true,84,84,https://www.arkcanal.com/,68,0
1594786615343,242,200,OK,Grupo de Usuários 1-51,true,84,84,https://www.arkcanal.com/,54,0
1594786615357,386,200,OK,Grupo de Usuários 1-49,true,84,84,https://www.arkcanal.com/,66,0
1594786615540,206,200,OK,Grupo de Usuários 1-46,true,84,84,https://www.arkcanal.com/,45,0
1594786615382,393,200,OK,Grupo de Usuários 1-48,true,83,83,https://www.arkcanal.com/,71,0
1594786615500,278,200,OK,Grupo de Usuários 1-50,true,83,83,https://www.arkcanal.com/,45,0
1594786615585,222,200,OK,Grupo de Usuários 1-51,true,83,83,https://www.arkcanal.com/,58,0
1594786615778,277,200,OK,Grupo de Usuários 1-50,true,83,83,https://www.arkcanal.com/,51,0
1594786615807,261,200,OK,Grupo de Usuários 1-51,true,82,82,https://www.arkcanal.com/,46,0
1594786615541,635,200,OK,Grupo de Usuários 1-47,true,82,82,https://www.arkcanal.com/,62,0
1594786615775,498,200,OK,Grupo de Usuários 1-48,true,82,82,https://www.arkcanal.com/,46,0
1594786615744,609,200,OK,Grupo de Usuários 1-49,true,81,81,https://www.arkcanal.com/,44,0
1594786616068,294,200,OK,Grupo de Usuários 1-51,true,80,80,https://www.arkcanal.com/,80,0
1594786611050,6077,200,OK,Grupo de Usuários 1-100,true,79,79,https://www.arkcanal.com/,5366,5294
1594786610989,6202,200,OK,Grupo de Usuários 1-94,true,79,79,https://www.arkcanal.com/,5431,5358
1594786610819,6466,200,OK,Grupo de Usuários 1-77,true,79,79,https://www.arkcanal.com/,5602,5531
1594786610749,6619,200,OK,Grupo de Usuários 1-68,true,79,79,https://www.arkcanal.com/,5669,5598
1594786610999,6381,200,OK,Grupo de Usuários 1-95,true,79,79,https://www.arkcanal.com/,5394,5320
1594786616176,1260,200,OK,Grupo de Usuários 1-47,true,79,79,https://www.arkcanal.com/,44,0
1594786610799,6760,200,OK,Grupo de Usuários 1-75,true,78,78,https://www.arkcanal.com/,5785,5712
1594786610689,6958,200,OK,Grupo de Usuários 1-64,true,78,78,https://www.arkcanal.com/,5902,5831
1594786610809,6859,200,OK,Grupo de Usuários 1-76,true,78,78,https://www.arkcanal.com/,5615,5544
1594786611029,6667,200,OK,Grupo de Usuários 1-98,true,78,78,https://www.arkcanal.com/,5368,5296
1594786610750,7028,200,OK,Grupo de Usuários 1-65,true,78,78,https://www.arkcanal.com/,5832,5761
1594786610679,7167,200,OK,Grupo de Usuários 1-63,true,78,78,https://www.arkcanal.com/,5717,5644
1594786617367,658,200,OK,Grupo de Usuários 1-68,true,78,78,https://www.arkcanal.com/,46,0
1594786610752,7298,200,OK,Grupo de Usuários 1-70,true,78,78,https://www.arkcanal.com/,5801,5732
1594786610949,7108,200,OK,Grupo de Usuários 1-90,true,78,78,https://www.arkcanal.com/,5466,5393
1594786610669,7438,200,OK,Grupo de Usuários 1-62,true,78,78,https://www.arkcanal.com/,5919,5848
1594786610748,7406,200,OK,Grupo de Usuários 1-67,true,78,78,https://www.arkcanal.com/,5648,5578
1594786617126,1042,200,OK,Grupo de Usuários 1-100,true,78,78,https://www.arkcanal.com/,112,0
1594786610747,7449,200,OK,Grupo de Usuários 1-69,true,78,78,https://www.arkcanal.com/,5808,5738
1594786610748,7485,200,OK,Grupo de Usuários 1-66,true,78,78,https://www.arkcanal.com/,5674,5602
1594786617558,741,200,OK,Grupo de Usuários 1-75,true,78,78,https://www.arkcanal.com/,43,0
1594786617190,1211,200,OK,Grupo de Usuários 1-94,true,78,78,https://www.arkcanal.com/,105,0
1594786617379,1090,200,OK,Grupo de Usuários 1-95,true,78,78,https://www.arkcanal.com/,136,0
1594786617695,826,200,OK,Grupo de Usuários 1-98,true,78,78,https://www.arkcanal.com/,53,0
1594786610759,7831,200,OK,Grupo de Usuários 1-71,true,78,78,https://www.arkcanal.com/,5820,5748
